                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4426,                 1.9285,                 1.6722,                0.87878,                0.79761,                0.88454,                0.62615,                0.92829,                0.67394,                 1.3164,               0.067143,             0.00033188,             0.00033188
                      2,                 1.1984,                 1.0346,                 1.4448,                0.91075,                0.82714,                0.90627,                0.64248,                0.92188,                0.59491,                 1.3165,               0.034122,             0.00064327,             0.00064327
                      3,                 1.0578,                0.84724,                 1.3244,                0.89879,                0.86004,                0.92004,                0.66724,                0.90163,                0.53787,                 1.2889,              0.0010776,             0.00093265,             0.00093265
                      4,                0.93839,                0.69326,                 1.2332,                0.89978,                0.87765,                0.92345,                 0.6781,                0.90237,                0.51581,                 1.3142,               0.000901,               0.000901,               0.000901
                      5,                0.86402,                0.61126,                  1.179,                0.87688,                 0.8635,                0.91692,                 0.6718,                0.92115,                0.52089,                 1.3425,               0.000868,               0.000868,               0.000868
                      6,                0.79914,                0.56064,                 1.1394,                0.91075,                0.87109,                0.92464,                 0.6795,                0.89401,                0.47783,                 1.3241,               0.000835,               0.000835,               0.000835
                      7,                0.74029,                0.51555,                 1.1051,                0.90926,                0.88568,                0.92744,                0.67273,                0.91068,                0.47373,                 1.3531,               0.000802,               0.000802,               0.000802
                      8,                0.71844,                0.49477,                 1.0954,                 0.9326,                 0.8686,                0.92845,                0.68539,                0.89834,                0.48346,                 1.3453,               0.000769,               0.000769,               0.000769
                      9,                0.67884,                 0.4665,                 1.0602,                0.93026,                0.87775,                0.92953,                 0.6912,                 0.8742,                0.45883,                 1.3345,               0.000736,               0.000736,               0.000736
                     10,                0.64677,                0.43901,                 1.0468,                0.90917,                0.88509,                 0.9321,                0.69111,                0.86846,                0.45447,                 1.3254,               0.000703,               0.000703,               0.000703
                     11,                0.60993,                0.41479,                 1.0364,                0.93438,                 0.8872,                0.93598,                0.70492,                 0.8542,                0.43842,                  1.304,                0.00067,                0.00067,                0.00067
                     12,                0.61098,                 0.4192,                 1.0256,                 0.9286,                0.88306,                0.93561,                0.70383,                0.85887,                0.44628,                 1.3056,               0.000637,               0.000637,               0.000637
                     13,                0.58796,                 0.4046,                 1.0165,                0.93804,                0.88608,                0.94438,                0.71436,                0.85093,                0.44174,                 1.3049,               0.000604,               0.000604,               0.000604
                     14,                0.56947,                0.39316,                 1.0091,                0.92256,                0.89305,                0.93961,                  0.698,                0.85144,                0.46584,                 1.2875,               0.000571,               0.000571,               0.000571
                     15,                0.56286,                0.38297,                 1.0099,                0.92752,                0.88059,                0.93265,                0.70567,                0.84519,                0.43562,                 1.2896,               0.000538,               0.000538,               0.000538
                     16,                 0.5542,                0.37639,                 1.0033,                0.90822,                 0.9063,                0.93689,                0.70206,                0.84994,                0.44405,                 1.3006,               0.000505,               0.000505,               0.000505
                     17,                0.53082,                0.36209,                0.98912,                  0.931,                0.89154,                0.93611,                0.70872,                0.83412,                0.41907,                 1.2922,               0.000472,               0.000472,               0.000472
                     18,                0.52795,                0.36189,                0.98635,                0.93467,                0.87769,                0.93808,                0.71724,                0.82895,                0.42833,                 1.2877,               0.000439,               0.000439,               0.000439
                     19,                0.51092,                0.35147,                0.97902,                0.91896,                0.89821,                0.93589,                0.70697,                0.83519,                 0.4242,                 1.2859,               0.000406,               0.000406,               0.000406
                     20,                0.51176,                0.34675,                0.97727,                0.90558,                0.90353,                0.93975,                0.71831,                0.83451,                 0.4256,                 1.2753,               0.000373,               0.000373,               0.000373
                     21,                0.70558,                0.39279,                 1.1615,                0.93536,                0.88814,                0.93747,                0.72296,                0.80893,                0.42757,                 1.2349,                0.00034,                0.00034,                0.00034
                     22,                0.67271,                0.36864,                 1.1267,                0.93783,                0.88159,                0.94459,                0.73475,                0.77669,                0.41826,                 1.1972,               0.000307,               0.000307,               0.000307
                     23,                0.65562,                0.35565,                 1.1123,                0.93885,                0.90057,                0.94688,                0.74094,                0.78444,                0.41223,                 1.2012,               0.000274,               0.000274,               0.000274
                     24,                0.63597,                0.34391,                 1.1024,                0.93117,                0.90439,                0.95017,                0.74396,                0.78211,                0.40647,                 1.2063,               0.000241,               0.000241,               0.000241
                     25,                0.62361,                0.33262,                 1.0978,                0.93142,                0.91353,                0.95403,                0.74768,                0.77465,                0.40098,                 1.2011,               0.000208,               0.000208,               0.000208
                     26,                0.61019,                0.32363,                 1.0858,                0.93602,                0.89697,                0.94728,                0.74676,                0.77262,                0.40678,                 1.2025,               0.000175,               0.000175,               0.000175
                     27,                0.60277,                 0.3092,                 1.0793,                0.93234,                0.90859,                0.95011,                0.74951,                0.77584,                0.40225,                  1.199,               0.000142,               0.000142,               0.000142
                     28,                0.59908,                0.30435,                 1.0749,                0.94506,                0.90985,                0.95444,                0.75253,                0.76978,                0.38793,                 1.2003,               0.000109,               0.000109,               0.000109
                     29,                0.58612,                0.29776,                 1.0675,                0.92798,                0.92081,                0.95382,                0.75422,                0.76389,                0.38883,                 1.1977,                7.6e-05,                7.6e-05,                7.6e-05
                     30,                0.57651,                0.28958,                 1.0658,                0.93362,                0.91761,                0.95336,                0.75558,                0.76648,                 0.3841,                 1.1969,                4.3e-05,                4.3e-05,                4.3e-05
